RedMean,GreenMean,BlueMean,RedVariance,GreenVariance,BlueVariance,Hu1,Hu2,Hu3,Hu4,Hu5,Hu6,Hu7,Fire
202.549,169.085,118.269,13.0513,28.1336,21.1427,0.472972,0.0972011,0.0797106,0.133395,0.013746,0.0414626,-0.000504917,0
205.422,159.608,115.963,11.7052,16.748,19.4565,0.592593,0.0401235,0.0939007,0.0165752,-0.000653605,-0.00252755,2.01E-05,0
192.714,157.333,136.905,1.69433,4.73421,2.82682,0.183811,0.00313771,0.000462532,1.46E-05,1.04E-09,-1.99E-07,-5.79E-10,0
206.085,131.636,61.1928,13.6679,18.3051,33.6578,0.222222,0.0123457,0.00548758,0.00021949,-2.41E-07,-2.44E-05,-5.08E-11,0
204.517,140.203,59.6436,11.4047,20.2438,42.7651,0.179424,0.00240161,0.000867879,1.30E-05,-3.36E-10,-4.34E-07,-1.33E-09,0
193.207,163.655,134.759,2.89869,10.7569,5.40424,0.178884,0.00116139,0.000863312,7.48E-06,-2.69E-10,2.14E-07,-5.38E-10,0
209.105,169.851,119.334,14.9614,14.2,12.6969,0.200753,0.0120691,3.55E-06,3.37E-06,9.21E-12,2.75E-07,7.17E-12,0
219.11,164.579,121.781,14.9131,10.7472,11.0014,0.986111,0.724151,0.651269,0.459502,0.250298,0.359367,-0.0231823,0
191,179,137,0,0,0,0,0,0,0,0,0,0,0
199.517,153.974,123.272,6.32187,7.08069,15.0277,0.25,0.0347222,2.90E-12,6.96E-12,3.10E-23,-1.28E-12,4.23E-24,0
201.55,169.229,101.848,8.2309,21.0562,24.0784,0.172945,0.00122404,0.000545581,1.51E-05,3.98E-10,4.51E-07,-1.31E-09,0
206.657,117.34,115.608,13.5586,11.5805,11.1046,0.222881,0.020739,0.00106328,0.000202782,9.12E-08,2.65E-05,-2.35E-08,0
204.11,145.263,109.148,11.9963,12.1565,12.7086,0.164008,7.07E-06,0.000265648,2.84E-06,-7.81E-11,-7.56E-09,8.77E-15,0
215.12,163.598,122.316,15.8991,28.1952,13.5494,0.432095,0.157208,0.000630357,0.000203143,6.45E-08,4.79E-05,3.36E-08,0
234.233,152.323,96.5482,25.2626,14.8722,24.1849,0.164008,7.07E-06,0.000265651,2.84E-06,-7.81E-11,-7.56E-09,-3.14E-14,0
221.291,123.371,84.4713,20.7217,17.2162,32.0059,0.223899,0.0212521,0.00085922,0.000218996,8.83E-08,2.69E-05,3.50E-08,0
200.328,124.414,111.432,6.45627,18.2695,14.4727,0.625514,0.295094,0.0604458,0.0175466,0.000438944,0.00174782,0.000365885,0
204.646,131.229,120.333,9.2342,10.8977,11.0912,0.500508,0.155956,0.125052,0.0548145,0.00427989,0.0150457,0.0015094,0
199.443,151.192,120.478,5.90175,27.1132,12.934,0.292976,0.0319266,0.00986868,0.00167924,1.76E-06,2.86E-05,-6.61E-06,0
194.511,161.68,127.732,3.85547,21.5938,11.0264,0.164008,7.07E-06,0.000265648,2.84E-06,-7.81E-11,-7.56E-09,3.20E-15,0
247.392,133.918,73.034,13.7796,12.2498,21.9217,0.342917,0.0880386,0.00163232,0.000292287,9.23E-08,7.59E-06,-1.80E-07,0
196.919,136.079,108.679,5.86284,11.0233,13.7108,0.172616,0.00140899,0.000805897,7.89E-06,9.51E-11,1.83E-07,-6.22E-10,0
191.654,132.576,109.962,1.06493,5.91039,6.4586,0.3016,0.0586243,0.0017067,0.000262435,2.46E-08,-5.51E-06,-1.74E-07,0
198.44,120.621,114.818,7.71009,18.2892,17.3998,0.166135,0.000382696,0.000143701,7.31E-07,7.49E-12,-1.43E-08,-2.41E-16,0
254.743,109.715,107.364,0.745423,9.10394,9.04746,0.231215,0.0234168,1.50E-06,2.51E-05,-1.54E-10,3.85E-06,-1.73E-16,0
226.649,153.344,118.647,23.8425,31.7587,15.5413,0.55144,0.218276,0.0262536,0.0131613,0.000234426,0.00404747,7.00E-05,0
239.313,140.979,95.6773,21.9663,26.6285,23.4571,0.17266,0.00124958,0.000454744,3.70E-06,7.58E-11,8.19E-08,1.31E-10,0
238.194,199.702,68.3655,19.4921,23.362,34.2795,1.47222,1.85262,0.0309496,0.00469474,-5.66E-05,-0.00639006,-2.20E-09,0
199.667,129,124.81,5.91876,6.86953,7.32978,1.35592,0.42926,0.0431546,0.482329,-0.0560918,0.258658,-0.0411833,0
196.571,138.571,135.714,1.29363,5.42105,4.36592,0.231942,0.0260176,8.56E-05,3.49E-05,1.90E-09,5.61E-06,-2.04E-10,0
207.351,118.492,103.993,11.6991,13.094,18.9008,0,0,0,0,0,0,0,0
196.836,128.372,125.288,3.64356,11.0685,10.4081,5.09375,20.7362,127.137,113.634,13658.4,515.981,-13.3361,0
203.981,132.54,47.33,7.77087,19.2566,41.2881,0.231215,0.0234168,1.50E-06,2.51E-05,-1.54E-10,3.85E-06,1.46E-15,0
206.429,133.185,48.4499,8.15102,20.5562,40.9309,0.304527,0.0630155,0.00230846,0.000215436,-1.52E-07,-5.41E-05,1.71E-12,0
192.234,129.193,110.152,1.36217,24.3176,14.0436,0.164008,7.07E-06,0.000265647,2.84E-06,-7.81E-11,-7.56E-09,-7.28E-15,0
213.931,147.887,129.182,12.2704,20.926,8.54727,0,0,0,0,0,0,0,0
223.781,116.86,79.2975,16.5857,11.4431,18.2475,0.30637,0.0311134,0.0472607,0.0259976,0.00090726,0.0042535,-8.55E-05,0
210.523,117.751,98.07,11.3088,16.635,15.2601,0,0,0,0,0,0,0,0
193.107,130.636,126.24,3.70794,11.6335,11.1533,0.180556,0.00482253,0,0,0,0,0,0
192,184.178,136.367,1.0435,3.20963,2.415,0,0,0,0,0,0,0,0
203.891,124.082,103.62,6.95752,16.1764,12.9332,0.222222,0.0123457,0.00548584,0.000219444,-2.41E-07,-2.44E-05,-9.80E-11,0
194.057,108.784,100.091,2.39012,11.2194,14.5693,1.55956,0.568814,2.73705,0.79968,0.543175,0.303406,-1.05102,0
191.953,142.359,133.035,1.65159,4.65514,4.685,0.164444,0.000597531,0,0,0,0,0,0
195.996,153.201,94.4238,4.11204,7.51987,13.4819,0.534979,0.212586,0.0134929,0.0141545,0.000193832,0.00650402,2.63E-05,0
193.951,139.587,136.659,2.59588,3.34417,2.13775,0.176503,0.00191615,0.00122513,1.82E-05,2.02E-09,4.26E-07,-1.82E-09,0
193.28,158.05,98.3159,2.05227,17.4479,13.1707,0.17266,0.00124958,0.00045474,3.70E-06,7.58E-11,8.19E-08,1.31E-10,0
197.618,138.806,88.8112,5.21825,16.2914,13.7231,0,0,0,0,0,0,0,0
215.545,159.734,119.208,14.8318,23.0229,16.4159,0,0,0,0,0,0,0,0
193.179,150.859,132.003,2.20229,9.21074,5.27467,0,0,0,0,0,0,0,0
195.266,134.006,85.7766,3.35309,8.43094,14.8231,0.555556,0.197531,0.00857328,0.00165987,-6.26E-06,-0.000737721,-4.86E-10,0
191.706,143.683,136.905,0.918462,6.19164,2.1831,0.193342,0.00944983,0.000495639,3.85E-05,4.42E-09,3.22E-06,-2.97E-09,0
192.947,167.913,121.51,2.23792,7.42947,10.9452,0.166135,0.000382696,0.0001437,7.31E-07,7.49E-12,-1.43E-08,1.43E-15,0
193.719,138.751,133.871,2.85469,6.64597,5.07192,0,0,0,0,0,0,0,0
197.027,126.673,116.73,4.876,11.69,12.95,1.20576,0.552016,0.896757,0.293757,0.146472,0.216891,-0.0357528,0
191.279,143.965,138.465,0.473757,2.69128,0.802578,0.249406,0.00471967,0.00820852,0.00338171,1.13E-05,0.000173471,1.37E-05,0
194.239,123.266,109.681,3.10827,12.1248,11.7656,0,0,0,0,0,0,0,0
205.236,129.909,123.672,13.4299,15.8749,12.5467,0.235597,0.0252822,0.000381606,1.91E-05,-1.13E-09,-2.87E-06,1.18E-09,0
198.434,121.591,82.6833,6.00746,20.1372,18.7035,0,0,0,0,0,0,0,0
192.8,138.4,133.6,1.97315,8.8,3.07246,0.347276,0.0885833,0.000185503,2.10E-05,4.34E-10,2.18E-06,1.24E-09,0
199.729,136.614,109.815,5.42214,22.4306,12.1275,0.162039,0.000352544,6.77E-05,3.80E-08,6.09E-14,1.13E-10,-2.95E-15,0
197.841,148.321,95.9659,5.14032,31.2633,19.1945,0.184483,0.00407248,0.00149511,1.74E-05,-2.81E-09,-1.11E-06,-1.55E-14,0
193.558,144.635,99.7541,2.7318,17.6345,22.3519,1.43111,1.01435,3.76356,2.01348,5.28074,1.70835,1.68383,0
200.573,125.233,108.864,6.15297,15.0124,16.3306,0.391521,0.0991911,0.00479056,0.00449414,2.08E-05,0.00140939,-1.22E-06,0
209.701,123.173,115.898,9.36133,13.4689,11.2994,0.631111,0.263605,0.0635695,0.0117192,6.83E-05,-0.000851746,0.000312482,0
205.31,149.126,110.779,12.4844,17.1712,17.9045,0,0,0,0,0,0,0,0
206.139,168.98,77.7934,8.43164,9.99997,23.0958,0,0,0,0,0,0,0,0
191.818,125.636,123.545,0.935966,2.60324,2.27091,0.189684,0.00735875,0.0010006,6.00E-05,7.22E-09,1.36E-06,-1.28E-08,0
210.487,117.832,108.133,10.8902,11.9578,18.3177,0,0,0,0,0,0,0,0
205.074,121.754,100.82,7.25653,12.0478,20.1023,0.17266,0.00124958,0.000454751,3.70E-06,7.58E-11,8.19E-08,-1.31E-10,0
244.396,145.33,98.1107,15.5114,20.2764,20.6736,0.16723,0.000237747,5.66E-05,9.54E-07,-5.87E-12,-1.16E-08,3.84E-12,0
195.005,122.029,119.344,3.99733,13.5808,13.1833,0.166667,0,0,0,0,0,0,0
196.231,123.538,119.856,4.29248,12.4528,11.5947,1.47222,1.85262,0.0309508,0.00469468,-5.66E-05,-0.00638999,-1.11E-09,0
210.283,152.613,119.844,14.478,23.4868,12.7749,0.555556,0.197531,0.0085735,0.0016597,-6.26E-06,-0.000737643,3.86E-10,0
192.75,104.833,67.0833,1.63936,3.18416,4.55445,0.231215,0.0234168,1.50E-06,2.51E-05,-1.54E-10,3.85E-06,2.36E-15,0
192.627,151.941,124.49,1.70306,14.4357,12.3039,0.180556,0.00482253,0,0,0,0,0,0
192.134,122.52,114.049,1.27966,4.82961,3.6708,0.180556,0.00482253,0,0,0,0,0,0
191.781,134.545,131.585,1.05714,8.81095,9.94287,0.168601,0.000911298,0.000193627,4.59E-06,1.15E-10,-1.91E-09,7.36E-11,0
196.933,139.267,101.439,4.58944,14.7889,20.5419,0.986111,0.724151,0.651269,0.459502,0.250298,0.359367,0.0231823,0
200.099,193.604,78.1524,6.6117,13.837,37.9857,0,0,0,0,0,0,0,0
207.54,126.404,115.182,12.3908,15.4148,15.1997,0.297971,0.0615681,7.99E-05,3.24E-05,1.63E-09,7.38E-06,-2.47E-10,0
206.656,124.27,111.341,13.8052,15.3443,14.5431,0.889056,0.31012,0.00411166,0.00842497,4.57E-05,0.00451424,-1.93E-05,0
203.403,126.836,112.54,13.6716,18.919,15.8112,0.262566,0.0419839,0.000109865,2.05E-05,9.36E-10,3.76E-06,2.73E-10,0
224.097,118.816,78.5235,15.9639,17.8227,25.2696,0.282529,0.0521093,0.000188221,5.79E-05,5.64E-09,1.12E-05,-2.18E-09,0
235.786,119.633,74.0169,15.7329,18.6679,22.5042,0.308012,0.040973,0.000972787,0.00504347,1.11E-05,0.00101961,-1.15E-06,0
198.819,147.025,114.131,6.82526,9.50054,11.1414,0.179424,0.00240161,0.000867873,1.30E-05,-3.37E-10,-4.34E-07,-1.33E-09,0
213.523,149.098,107.041,14.7572,39.8292,18.2763,1.62262,1.04624,0.0177846,0.283475,-0.011577,0.289303,-0.016465,0
230.043,209.301,91.5474,22.0512,31.3353,24.4968,0.266494,0.0426279,0.00154603,0.000474827,3.94E-07,8.84E-05,-1.00E-07,0
196.396,186.857,108.338,3.67056,8.44419,11.9871,0.166135,0.000382696,0.000143699,7.31E-07,7.49E-12,-1.43E-08,-5.85E-18,0
196.446,186.137,109.173,3.8402,9.22789,11.8919,0,0,0,0,0,0,0,0
196.446,186.137,109.173,3.8402,9.22789,11.8919,0,0,0,0,0,0,0,0
195.66,186.887,108.913,3.4406,8.98928,11.3143,0.171488,0.00313285,2.02E-18,7.62E-19,9.03E-37,2.41E-20,2.84E-37,0
208.768,162.996,127.022,10.4914,10.0708,9.48063,0.754065,0.521011,0.0200586,0.00274418,-6.17E-06,-0.00123023,1.94E-05,0
196.228,187.193,106.392,3.65957,7.979,12.1537,1.33337,0.797609,3.22669,2.57721,7.42288,2.26985,0.367004,0
196.228,187.193,106.392,3.65957,7.979,12.1537,1.33337,0.797609,3.22669,2.57721,7.42288,2.26985,0.367004,0
197.061,187.277,106.62,4.42687,9.07265,12.3247,0.975874,0.194569,0.44316,0.38962,0.161062,0.167847,0.0164324,0
209.288,155.597,114.77,13.1285,31.2961,15.3048,0.171488,0.00313285,7.35E-20,1.05E-19,9.20E-39,-5.70E-21,8.40E-41,0
198.54,186.277,105.361,4.8662,12.0806,12.8838,0,0,0,0,0,0,0,0
200.361,186.599,105.731,5.9502,15.2969,13.158,1.19342,1.21772,0.474745,0.418058,0.18619,0.445375,-0.00454366,0
201.523,184.825,107.031,6.53318,18.197,13.1258,0.42057,0.111692,0.0202549,0.00770673,8.79E-05,0.00188112,3.93E-05,0
201.975,185.132,106.556,6.90796,18.7184,13.4163,12.0416,127.947,870.181,882.717,773617,9979.31,-5423.9,0
201.921,186.182,106.894,6.8518,17.7594,13.5373,0.628472,0.0619441,0.0111928,0.0013937,5.22E-06,0.000210659,-1.75E-06,0
202.767,184.391,107.027,7.35339,20.8784,14.0353,0.22952,0.0225045,0.000859587,0.000124975,2.87E-09,-1.22E-06,4.09E-08,0
201.523,184.825,107.031,6.53318,18.197,13.1258,0.42057,0.111692,0.0202549,0.00770673,8.79E-05,0.00188112,3.93E-05,0
195.75,186.297,107.866,3.58149,8.70775,11.2972,0.25,0.0347222,1.40E-16,7.89E-16,1.49E-31,4.67E-17,2.16E-31,0
203.463,182.439,106.276,8.36714,23.0567,13.8834,0.183811,0.00313771,0.000462533,1.46E-05,1.04E-09,-1.99E-07,5.79E-10,0
203.559,179.428,107.027,9.02789,26.266,14.4334,0.17266,0.00124958,0.000454742,3.70E-06,7.58E-11,8.19E-08,-1.31E-10,0
210.987,154.131,108.861,14.4069,36.7703,17.1729,1.14403,0.496283,0.788016,0.193228,0.0708069,0.117209,-0.0259154,0
203.559,179.428,107.027,9.02789,26.266,14.4334,0.17266,0.00124958,0.000454742,3.70E-06,7.58E-11,8.19E-08,-1.31E-10,0
205.588,175.402,109.117,10.811,30.8431,14.9317,0.177193,0.0050265,2.58E-05,7.10E-07,2.87E-12,4.25E-08,9.98E-13,0
207.211,175.021,111.655,11.999,32.2041,14.7609,0,0,0,0,0,0,0,0
207.467,177.929,111.464,11.6753,29.4881,14.5636,0.228012,0.022136,0.000221059,1.61E-05,7.90E-10,-9.41E-07,-5.51E-10,0
204.527,178.201,110.787,9.66099,27.196,13.634,0.506394,0.19981,0.00435929,0.000687004,1.91E-08,-1.70E-05,1.19E-06,0
202.456,181.372,108.576,7.77965,22.7632,12.9883,0,0,0,0,0,0,0,0
202.456,181.372,108.576,7.77965,22.7632,12.9883,0,0,0,0,0,0,0,0
199.175,187.181,106.061,5.60391,12.5882,12.6588,2.32724,3.39112,11.041,9.91322,103.696,17.9019,1.78948,0
196.834,187.733,107.711,4.40337,8.4817,12.005,0.555556,0.197531,0.00857339,0.00165981,-6.26E-06,-0.000737693,-1.58E-12,0
195.365,185.412,108.576,4.31099,7.6085,12.6745,0.346748,0.0861353,0.00182862,0.000773705,8.82E-07,0.000178551,-2.64E-07,0
206.248,152.965,114.474,11.2823,28.9399,15.1902,0,0,0,0,0,0,0,0
192.733,183.1,107.967,2.32283,6.15007,12.8153,0.168181,0.000773052,0.000361496,5.14E-06,2.06E-11,-5.39E-08,2.21E-10,0
192.733,183.1,107.967,2.32283,6.15007,12.8153,0.168181,0.000773052,0.000361496,5.14E-06,2.06E-11,-5.39E-08,2.21E-10,0
193.211,186.947,115.158,2.41876,4.6166,12.4489,0.180556,0.00482253,0,0,0,0,0,0
193.111,182.5,117.389,2.13148,7.00991,13.5652,0.179029,0.00341651,2.99E-05,1.56E-06,-2.21E-12,6.43E-08,-1.05E-11,0
193.545,181.364,111.242,2.86135,7.066,12.3608,0.183811,0.00313771,0.000462533,1.46E-05,1.04E-09,-1.99E-07,-5.79E-10,0
194.271,182.854,112.438,3.35869,6.81294,12.5265,0.234815,0.0276497,0.000216043,5.04E-05,4.38E-09,4.81E-06,2.92E-09,0
195.082,184.274,110.425,4.12063,6.94846,10.8108,0.224667,0.0224427,0.000700392,0.000175682,6.05E-08,2.51E-05,1.17E-08,0
195.082,184.274,110.425,4.12063,6.94846,10.8108,0.224667,0.0224427,0.000700392,0.000175682,6.05E-08,2.51E-05,1.17E-08,0
196.042,184.679,105.848,4.05919,9.50151,12.7211,2.125,4.1684,0.125,0.0138889,-0.000578704,-0.0283565,5.83E-11,0
228.261,156.197,19.8613,17.1801,22.0716,21.4406,1.91319,2.60418,0.277706,0.0116266,0.000366787,-0.0134616,0.000549482,0
208.312,152.763,108.001,14.2057,40.3272,18.1134,0.189675,0.00796339,0.000655188,4.97E-05,6.83E-09,3.53E-06,-5.80E-09,0
196.622,184.806,105.801,4.16409,9.2256,12.0013,2.23611,2.2936,2.0581,0.264942,0.156124,0.163794,-0.117902,0
196.339,185.736,105.099,4.5401,8.8591,12.8519,2.23611,2.2936,2.0581,0.264942,0.156124,0.163794,-0.117902,0
195.975,183.58,102.489,4.18039,9.71993,13.5266,0.166135,0.000382696,0.000143699,7.31E-07,7.49E-12,-1.43E-08,-2.16E-18,0
195.975,183.58,102.489,4.18039,9.71993,13.5266,0.166135,0.000382696,0.000143699,7.31E-07,7.49E-12,-1.43E-08,-2.16E-18,0
196.205,183.208,103.377,4.21279,10.0537,14.5845,0.195855,0.0111861,4.59E-05,5.08E-07,-1.42E-12,-2.68E-08,2.00E-12,0
196.092,184.007,101.98,4.40799,9.83814,13.0308,1.91319,2.60418,0.277706,0.0116266,0.000366787,-0.0134616,-0.000549482,0
196.357,185.01,104.203,4.17903,9.72235,13.9037,0.205498,0.0109109,0.000909062,9.02E-05,8.12E-09,-6.67E-07,-2.45E-08,0
196.532,185.022,104.208,4.35206,10.13,12.454,0.231215,0.0234168,1.50E-06,2.51E-05,-1.54E-10,3.85E-06,3.15E-17,0
196.532,185.022,104.208,4.35206,10.13,12.454,0.231215,0.0234168,1.50E-06,2.51E-05,-1.54E-10,3.85E-06,3.15E-17,0
196.669,185.853,103.191,4.43967,10.115,13.0958,0.222222,0.0123457,0.00548696,0.000219481,-2.41E-07,-2.44E-05,-1.93E-13,0
206.521,150.833,115.744,12.1645,12.1362,13.4694,0.202786,0.0101496,8.57E-06,3.82E-05,-6.92E-10,3.85E-06,6.38E-16,0
197.091,186.752,104.978,4.2136,9.51663,12.525,7.333,49.3893,56.6568,48.0126,2503.26,328.954,66.5281,0
197.629,186.019,107.117,4.42856,10.4991,12.9119,0.267415,0.0434015,0.000591061,0.000182523,5.64E-08,3.11E-05,-2.03E-08,0
197.372,185.97,107.532,4.32372,10.4269,13.3223,2.94271,6.50198,23.2727,18.3506,379.173,45.996,6.42351,0
197.375,184.632,109.334,4.44766,11.3481,12.3414,3.72428,10.0548,16.5185,6.28951,60.1694,15.5522,22.1233,0
197.375,184.632,109.334,4.44766,11.3481,12.3414,3.72428,10.0548,16.5185,6.28951,60.1694,15.5522,22.1233,0
197.498,185.103,112.159,4.6464,12.0705,12.7742,2.46129,4.14397,12.6039,8.53629,88.5405,17.3397,-0.712293,0
197.44,184.43,111.297,4.67116,11.8115,12.9448,2.48971,4.16468,8.24557,4.71192,29.2386,9.57471,2.77757,0
196.911,185.669,113.797,3.93438,10.0676,12.055,0.304085,0.0646804,0.000826593,0.00029,1.36E-07,6.31E-05,-3.93E-08,0
196.402,183.271,110.745,4.54159,11.1506,13.153,0.230354,0.0252787,6.02E-05,4.67E-06,-7.20E-11,-7.43E-07,-3.10E-11,0
196.886,184.392,112.471,4.7909,11.8628,13.4692,2.94271,6.50198,23.2727,18.3506,379.173,45.996,6.42351,0
205.851,168.268,126.769,11.8596,16.1476,16.1898,0,0,0,0,0,0,0,0
196.886,184.392,112.471,4.7909,11.8628,13.4692,2.94271,6.50198,23.2727,18.3506,379.173,45.996,6.42351,0
